draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
39,informed,pren_spearman,26,0.12615384615384614,0.1076923076923077
39,generic,fake_pren_spearman,6,-0.08571428571428573,-0.06666666666666665
40,all,surrogate_spearman,32,0.219574780058651,0.14516129032258066
40,all,surrogate_mae,32,-0.11180351906158356,-0.060483870967741944
40,all,surrogate_rmse,32,-0.15139296187683285,-0.09274193548387098
40,informed,surrogate_spearman,24,0.07304347826086956,0.057971014492753624
40,generic,surrogate_spearman,8,0.1666666666666667,0.21428571428571427
40,informed,pren_spearman,24,-0.06173913043478261,-0.043478260869565216
40,generic,fake_pren_spearman,8,0.4285714285714286,0.2857142857142857
41,all,surrogate_spearman,32,-0.042155425219941346,-0.04435483870967743
41,all,surrogate_mae,32,-0.016129032258064516,0.00806451612903226
41,all,surrogate_rmse,32,-0.06744868035190615,-0.04435483870967743
41,informed,surrogate_spearman,25,-0.23615384615384616,-0.14666666666666664
41,generic,surrogate_spearman,7,-0.42857142857142866,-0.33333333333333337
41,informed,pren_spearman,25,0.28769230769230764,0.20666666666666664
41,generic,fake_pren_spearman,7,0.14285714285714288,0.14285714285714288
42,all,surrogate_spearman,32,0.044721407624633426,0.03225806451612904
42,all,surrogate_mae,32,-0.2225073313782991,-0.1370967741935484
42,all,surrogate_rmse,32,-0.2133431085043988,-0.14112903225806453
42,informed,surrogate_spearman,26,0.3538461538461538,0.2307692307692308
42,generic,surrogate_spearman,6,-0.6571428571428573,-0.4666666666666666
42,informed,pren_spearman,26,0.416068376068376,0.31076923076923074
42,generic,fake_pren_spearman,6,0.2,0.2
43,all,surrogate_spearman,32,0.1033724340175953,0.06451612903225808
43,all,surrogate_mae,32,-0.08760997067448678,-0.048387096774193554
43,all,surrogate_rmse,32,-0.05498533724340175,-0.028225806451612906
43,informed,surrogate_spearman,25,-0.050769230769230775,-0.03999999999999999
43,generic,surrogate_spearman,7,0.28571428571428575,0.23809523809523814
43,informed,pren_spearman,25,-0.30923076923076925,-0.21999999999999997
43,generic,fake_pren_spearman,7,0.21428571428571433,0.14285714285714288
44,all,surrogate_spearman,32,-0.07184750733137829,-0.024193548387096777
44,all,surrogate_mae,32,0.031524926686217,0.028225806451612906
44,all,surrogate_rmse,32,0.03922287390029325,0.0
44,informed,surrogate_spearman,25,-0.06769230769230769,0.006666666666666665
44,generic,surrogate_spearman,7,0.39285714285714296,0.23809523809523814
