trial_number,trial_id,synthetic_seed,sampling_seed,schema_attempts,sample_type,ridge_spearman,ridge_mae,ridge_rmse
30,trial_0030,30200150,30200150,1,informed,0.4154182820237962,0.7863711302663362,1.1314089144955408
30,trial_0030,30200151,30200151,1,informed,0.5521901576921244,0.7035016633494806,1.0583336491977533
30,trial_0030,30200152,30200152,1,informed,0.38112878747255896,0.8596511968359236,1.3477244971716524
30,trial_0030,30200153,30200153,1,informed,-0.09083663579832105,1.0941710148070825,1.6907356647459082
30,trial_0030,30200154,30200154,1,informed,0.36331968495608297,0.8057462332327059,1.169098508294899
30,trial_0030,30200155,30200155,1,informed,0.39844439550855115,0.7544076247294835,0.9899097570016115
30,trial_0030,30200156,30200156,1,generic,0.24195460992342796,0.7511745541473307,1.0018909848622166
30,trial_0030,30200157,30200157,1,informed,0.4611908142827888,0.7929312325590954,1.1852774924645146
30,trial_0030,30200158,30200158,1,generic,0.15714717681994791,1.250940153048884,1.8774236772803186
30,trial_0030,30200159,30200159,1,informed,0.4973841409680138,0.7403568374203865,1.0383132263737544
30,trial_0030,30200160,30200160,1,generic,0.09857970839782511,0.7758042301272993,1.0149370766558692
30,trial_0030,30200161,30200161,1,informed,0.1523237927947726,0.7991929176646464,1.0527310923382014
30,trial_0030,30200162,30200162,1,informed,0.526502693603209,0.7179872550253767,1.0257420188876645
30,trial_0030,30200163,30200163,1,generic,0.3633171426496608,1.4472296841735413,2.6318498954383482
30,trial_0030,30200164,30200164,1,informed,0.36476706374079054,0.9616189840525208,1.4187551486389165
30,trial_0030,30200165,30200165,1,informed,0.23250761795192368,0.8876984911516427,1.2404270038540948
30,trial_0030,30200166,30200166,1,informed,0.2938087218568825,1.5374456094295559,2.6029996881138904
30,trial_0030,30200167,30200167,1,informed,0.4346029226660843,0.7743495596161242,1.1029506956498043
30,trial_0030,30200168,30200168,1,informed,0.4041031595547265,0.7527039723990266,1.0440452723721978
30,trial_0030,30200169,30200169,1,informed,-0.008708069243089004,0.8136980370629568,1.1184485130988129
30,trial_0030,30200170,30200170,1,informed,0.49796529034680365,0.6670668190585698,0.8918317795438241
30,trial_0030,30200171,30200171,1,informed,0.3823375448297555,0.7564864478725485,1.0490417295024825
30,trial_0030,30200172,30200172,1,informed,0.4457779312473424,0.6990349374316424,0.9103440040162932
30,trial_0030,30200173,30200173,1,informed,-0.3505566643063699,2.734004389982818,4.57523288078391
30,trial_0030,30200174,30200174,1,informed,-0.06748132780226108,0.8623941991618878,1.2110455664635658
30,trial_0030,30200175,30200175,1,informed,0.48547474753862074,0.7346100502102888,1.02488086765621
30,trial_0030,30200176,30200176,1,informed,0.47594944979565296,0.7921112463349296,1.171730248648788
30,trial_0030,30200177,30200177,1,informed,0.37630456968022363,0.7705204529985146,1.0111781135519977
30,trial_0030,30200178,30200178,1,informed,-0.28061441122414266,0.8104189592730605,1.0644414468311856
30,trial_0030,30200179,30200179,1,informed,0.4824296111775068,0.7436253909949617,1.0449082328173178
30,trial_0030,30200180,30200180,1,informed,0.15288196573756488,1.6592627852718946,2.543871425536775
30,trial_0030,30200181,30200181,1,informed,0.4669406503057946,0.725801258236453,1.0067498820901604
30,trial_0030,30200182,30200182,1,informed,-0.27412745669018235,0.8742772765180916,1.2260559219446252
30,trial_0030,30200183,30200183,1,informed,-0.10177444445673418,1.275507426976566,2.031796733696099
30,trial_0030,30200184,30200184,1,informed,-0.2713651724209984,2.4460231349684407,5.458241591758624
30,trial_0030,30200185,30200185,1,informed,0.45379762318754796,0.777375897962924,1.0712362480485424
30,trial_0030,30200186,30200186,1,informed,0.21726054523479182,0.789598621669097,1.0712165613229538
30,trial_0030,30200187,30200187,1,informed,-0.22404870840651478,1.208362581901047,2.100904418631507
30,trial_0030,30200188,30200188,1,informed,-0.20717521565831445,0.9042458381076754,1.2878582154373506
30,trial_0030,30200189,30200189,1,informed,0.243939959882692,0.9443559105345434,1.3082692605088353
30,trial_0030,30200190,30200190,1,informed,0.042933022015158764,0.865109587137182,1.1213243565644926
30,trial_0030,30200191,30200191,1,informed,0.390854954759501,0.7624851551339814,1.0352425446856677
30,trial_0030,30200192,30200192,1,generic,0.0004259866771571011,0.9452677331182737,1.15585013174878
30,trial_0030,30200193,30200193,1,informed,0.41684250668442296,0.7524246767346899,1.0384638160492197
30,trial_0030,30200194,30200194,1,informed,0.46044848814416334,0.7412094638162627,1.057696188371747
30,trial_0030,30200195,30200195,1,informed,0.12515782716995005,0.8640671631609879,1.146063876149611
30,trial_0030,30200196,30200196,1,generic,0.12397726754473624,0.7428049682837785,0.9883197943428279
30,trial_0030,30200197,30200197,1,informed,0.2056567616403008,0.8219139742987998,1.1554425825465857
30,trial_0030,30200198,30200198,1,informed,0.03370203041133447,0.9961237961051083,1.2457403481635596
30,trial_0030,30200199,30200199,1,generic,-0.19838942838126813,0.7808341546231179,1.0361628595637595
30,trial_0030,30200200,30200200,1,informed,-0.2769741291306032,0.7976832156873488,1.0633696377764008
30,trial_0030,30200201,30200201,1,generic,-0.2774624433200441,0.8905557672084976,1.1931525095071607
30,trial_0030,30200202,30200202,1,generic,0.12325649633744223,0.8855254311326516,1.2899746304478457
30,trial_0030,30200203,30200203,1,informed,-0.026909794082010535,0.9262726184810723,1.1799816646396053
30,trial_0030,30200204,30200204,1,informed,0.06371857761440963,0.8177888661512387,1.04463215172025
30,trial_0030,30200205,30200205,1,informed,-0.0037345797924968737,0.9633027051590992,1.300107297816912
30,trial_0030,30200206,30200206,1,informed,0.3588713731380522,0.7409654392052163,1.0055994104812493
30,trial_0030,30200207,30200207,1,informed,0.16501286786521904,0.8598667427692656,1.425234435111483
30,trial_0030,30200208,30200208,1,generic,0.05931355334712508,0.7754843755546791,1.014068946917827
30,trial_0030,30200209,30200209,1,informed,0.08288471135940992,0.9364827284669245,1.4270291353646671
30,trial_0030,30200210,30200210,1,generic,-0.12694135080325306,1.6753334135398816,2.2956401818471734
30,trial_0030,30200211,30200211,1,informed,0.2939979323289317,0.9542682922867195,1.3314213308493072
30,trial_0030,30200212,30200212,1,informed,0.4421870737775788,0.7687771090460932,1.2001991706195156
30,trial_0030,30200213,30200213,1,generic,0.25897880950286534,0.9588880403335028,1.4344876849123487
30,trial_0030,30200214,30200214,1,informed,0.06734513672059537,0.7838119274131322,1.0229011893553723
30,trial_0030,30200215,31200218,2,generic,0.3566553020368254,0.7340849727546076,0.971266111895465
30,trial_0030,30200216,30200216,1,informed,0.25477740211068856,0.8637584456052121,1.2135176512594386
30,trial_0030,30200217,30200217,1,informed,0.12493996791155286,0.7581647578227366,1.0250798788915172
30,trial_0030,30200218,30200218,1,informed,-0.18589833884052132,0.8594111125144384,1.189089140656828
30,trial_0030,30200219,30200219,1,generic,0.2547441607708038,0.7454489628312184,0.95514098719945
30,trial_0030,30200220,30200220,1,generic,0.11231972647090048,1.0334323103065304,1.3644128630933738
30,trial_0030,30200221,30200221,1,generic,-0.07690120183859626,0.8512141050690113,1.1383368916822034
30,trial_0030,30200222,30200222,1,informed,0.31220224047921763,1.0187832599640347,1.62955191025947
30,trial_0030,30200223,30200223,1,informed,0.29664273743844916,0.8733826004996564,1.3733259629874859
30,trial_0030,30200224,30200224,1,informed,0.3420782090718018,0.7869135470031721,1.0859401087614216
30,trial_0030,30200225,30200225,1,informed,-0.040088413490166654,0.8692815903728844,1.1950599684190122
30,trial_0030,30200226,30200226,1,informed,-0.01203074072194902,1.1736879356821828,1.5778750553267884
30,trial_0030,30200227,30200227,1,informed,0.2891383409397126,0.7380712496424211,0.997615802931422
30,trial_0030,30200228,30200228,1,informed,0.2657396770513359,0.9070465013215462,1.2666146593054088
30,trial_0030,30200229,30200229,1,generic,-0.16864658916799177,0.7738945996633313,1.0544508249675044
30,trial_0030,30200230,30200230,1,generic,-0.12868087613347678,0.7826853334883284,1.0300365378117713
30,trial_0030,30200231,30200231,1,informed,0.29796785315355623,0.7808532125011729,1.1029126987887339
30,trial_0030,30200232,30200232,1,informed,0.4200412885643049,1.2346415141421285,2.896477986036439
30,trial_0030,30200233,30200233,1,generic,-0.1630346390975997,0.7919280890593544,1.0663952685479017
30,trial_0030,30200234,30200234,1,generic,-0.2762092776103453,0.9382052946530977,1.3337301928053749
30,trial_0030,30200235,30200235,1,informed,0.4850731998070696,0.7395195386991561,0.9863592560941313
30,trial_0030,30200236,30200236,1,informed,-0.14764965309122588,0.9546129246426068,1.3310572558688707
30,trial_0030,30200237,30200237,1,informed,0.1564850153435032,0.9616988425611622,1.5555705937851703
30,trial_0030,30200238,30200238,1,informed,-0.47312646454356283,1.5031397534709356,2.0861124118313112
30,trial_0030,30200239,30200239,1,generic,0.07339795826219656,0.7752909129691486,1.0091765913048476
30,trial_0030,30200240,30200240,1,generic,0.2643898080193986,0.7273274816734006,0.9602770141885667
30,trial_0030,30200241,30200241,1,informed,-0.32189452401551244,1.1136400814369676,1.5408540937557418
30,trial_0030,30200242,30200242,1,informed,-0.05661633025304437,1.0102747457876635,1.4530660740827503
30,trial_0030,30200243,30200243,1,informed,0.050643400007342035,0.8248293969085849,1.091673110611803
30,trial_0030,30200244,30200244,1,informed,0.19314690550429842,0.9085225180829499,1.3046704628986348
30,trial_0030,30200245,30200245,1,informed,-0.2558709355800447,1.047068327580621,1.473039013557377
30,trial_0030,30200246,30200246,1,informed,0.07208795970248112,0.8742227700432977,1.1572150847527363
30,trial_0030,30200247,30200247,1,informed,0.4904318486806101,0.9429674307373139,1.6581188404590967
30,trial_0030,30200248,30200248,1,informed,-0.3762183772915259,1.2169009226103733,1.7428276918903287
30,trial_0030,30200249,30200249,1,generic,0.19872591493771596,0.7963612550376235,1.0495015043515625
30,trial_0030,30200250,30200250,1,generic,0.006519143413659463,2.6085055900312892,4.295039907020292
30,trial_0030,30200251,30200251,1,informed,0.12492051790059236,0.8874927988089439,1.370063402563756
30,trial_0030,30200252,30200252,1,informed,-0.15150913393794405,0.9647948893490789,1.3244445938112952
30,trial_0030,30200253,30200253,1,informed,0.048199450773484684,1.2417500116584748,2.388148731304802
30,trial_0030,30200254,30200254,1,informed,0.3036249906703541,0.7590271864072223,1.0370478894942767
30,trial_0030,30200255,30200255,1,informed,0.40367808865461396,0.7420117013507347,0.9721128990801359
