template_id,family,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd
epit_0107,fe_alloy,56,14,25,5,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0108,fe_alloy,53,17,25,5,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0109,fe_alloy,75.586,24.3,0,0.063,,,0,,0.043,0.002,,,0.006,0,0,0,0,0,0,0,0,0,0,0
epit_0110,fe_alloy,64.66,24.3,0,10.9,0.015,,0,,,0.12,,,0.005,0,0,0,0,0,0,0,0,0,0,0
epit_0111,fe_alloy,76,24,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0112,fe_alloy,59.312,20.12,20.18,0.01,0.02,0.011,0,0.004,0.08,0.18,,0.003,0.08,0,0,0,0,0,0,0,0,0,0,0
epit_0113,fe_alloy,71.723,19.2,9,0,0,0.002,0,0.05,,,,,0.025,0,0,0,0,0,0,0,0,0,0,0
epit_0114,fe_alloy,72.1,17.6,10.3,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0115,fe_alloy,72.4,17.4,10.2,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0116,fe_alloy,72.2,17.8,10,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0117,fe_alloy,70.124,18.8,6,1.01,0,0.088,0,0.008,0.5,3.47,,,,,0,0,0,0,0,0,0,0,0,0
epit_0118,fe_alloy,69.127,18.8,6,1.98,0,0.063,0,0.03,0.5,3.5,,,,,0,0,0,0,0,0,0,0,0,0
epit_0119,fe_alloy,68.521,18.83,6.5,1.02,0,0.216,0,0.023,0.45,4.44,,,,,0,0,0,0,0,0,0,0,0,0
epit_0120,fe_alloy,70.027,18.8,6.1,1.01,0,0.228,0,0.005,0.42,3.41,,,,,0,0,0,0,0,0,0,0,0,0
epit_0121,fe_alloy,69.478,18.8,6,2.09,0,0.189,0,0.003,0.5,2.94,,,,,0,0,0,0,0,0,0,0,0,0
epit_0122,fe_alloy,67.402,18.8,6.47,1.02,0,0.318,0,0.03,0.57,5.39,,,,,0,0,0,0,0,0,0,0,0,0
epit_0123,fe_alloy,67.692,18.8,6.18,2.13,0,0.268,0,0.03,0.62,4.28,,,,,0,0,0,0,0,0,0,0,0,0
epit_0124,fe_alloy,59.287,18.8,15.83,2.01,0,0.043,0,0.03,0.5,3.5,,,,,0,0,0,0,0,0,0,0,0,0
epit_0125,fe_alloy,58.551,18.8,14.53,4.02,0,0.039,0,0.03,0.33,3.7,,,,,0,0,0,0,0,0,0,0,0,0
epit_0126,fe_alloy,48.26,18.8,26.42,2.51,0,0.06,0,0.03,0.77,3.15,,,,,0,0,0,0,0,0,0,0,0,0
epit_0127,fe_alloy,57.92,17.8,6,2.1,0,0.268,0,0.012,0.3,15.6,,,,,0,0,0,0,0,0,0,0,0,0
epit_0128,fe_alloy,58.8,18.58,15.78,3.84,0,0.31,0,0.01,0.3,2.38,,,,,0,0,0,0,0,0,0,0,0,0
epit_0129,fe_alloy,52.368,18.07,14.9,2.16,0,0.235,0,0.017,0.23,12.02,,,,,0,0,0,0,0,0,0,0,0,0
epit_0130,fe_alloy,55.62,18.6,15.03,1.48,0,0.244,0,0.016,0.27,8.74,,,,,0,0,0,0,0,0,0,0,0,0
epit_0131,fe_alloy,54.632,18.41,15.08,3.72,0,0.371,0,0.027,0.24,7.52,,,,,0,0,0,0,0,0,0,0,0,0
epit_0132,fe_alloy,45.676,18.75,24.68,5.72,0,0.061,0,0.013,0.44,4.66,,,,,0,0,0,0,0,0,0,0,0,0
epit_0133,fe_alloy,47.466,18.71,14.67,1.85,0,0.304,0,0.02,0.33,16.65,,,,,0,0,0,0,0,0,0,0,0,0
epit_0134,fe_alloy,47.274,18.02,15.92,3.56,0,0.306,0,0.02,0.44,14.46,,,,,0,0,0,0,0,0,0,0,0,0
epit_0135,fe_alloy,42.92,18.19,24.46,2.18,0,0.25,0,0.02,0.32,11.66,,,,,0,0,0,0,0,0,0,0,0,0
epit_0136,fe_alloy,30.551,18.8,25.21,2.3,0,0.349,0,0.02,0.31,22.46,,,,,0,0,0,0,0,0,0,0,0,0
epit_0137,fe_alloy,26.651,19.23,26.13,6.75,0,0.339,0,0.02,0.48,20.4,,,,,0,0,0,0,0,0,0,0,0,0
epit_0138,fe_alloy,25.584,18.32,26.65,6.42,0,0.396,0,0.02,0.62,21.99,,,,,0,0,0,0,0,0,0,0,0,0
epit_0139,fe_alloy,62.872,18.36,5.9,1.39,0,0.338,0,0.02,0.49,9.94,,,,,0.69,0,0,0,0,0,0,0,0,0
epit_0140,fe_alloy,37.325,17.93,25.92,5,0,0.255,0,0.02,0.42,13.13,,,,,0,0,0,0,0,0,0,0,0,0
epit_0141,fe_alloy,48.949,18.35,25.9,6.11,0,0.39,0,0.011,0.29,0,,,,,0,0,0,0,0,0,0,0,0,0
epit_0142,fe_alloy,56.965,16.66,20.54,1.01,0,0.29,0,0.025,0.17,4.31,,0.018,0.012,0,0,0,0,0,0,0,0,0,0,0
epit_0143,fe_alloy,65.6265,18.1,5.7,0,0,0.17,0,0.0185,0.44,9.9,,0.027,0.018,0,0,0,0,0,0,0,0,0,0,0
epit_0144,fe_alloy,66.677,17.7,5.6,0,0,0.12,0,0.025,0.23,9.6,,0.03,0.018,0,0,0,0,0,0,0,0,0,0,0
epit_0145,fe_alloy,66.337,17.4,5.5,0,0,0.07,0,0.024,0.22,10.4,,0.027,0.022,0,0,0,0,0,0,0,0,0,0,0
epit_0146,fe_alloy,66.17,17.8,5.2,0,0,0.25,0,0.02,0.31,10.2,,0.026,0.024,0,0,0,0,0,0,0,0,0,0,0
epit_0147,fe_alloy,64.959,18.2,5.4,0,0,0.35,0,0.02,0.32,10.7,,0.029,0.022,0,0,0,0,0,0,0,0,0,0,0
epit_0148,fe_alloy,76.9085,17.2,5.51,0,0,0.066,0,0.0075,0.23,0.03,,0.034,0.014,0,0,0,0,0,0,0,0,0,0,0
epit_0149,fe_alloy,71.037,17.4,5.47,0,0,0.061,0,0.019,0.27,5.7,,0.029,0.014,0,0,0,0,0,0,0,0,0,0,0
epit_0150,fe_alloy,66.603,17.6,5.52,0,0,0.049,0,0.013,0.57,9.6,,0.031,0.014,0,0,0,0,0,0,0,0,0,0,0
epit_0151,fe_alloy,66.247,17.5,5.69,0,0,0.019,0,0,0.5,10,,0.027,0.017,0,0,0,0,0,0,0,0,0,0,0
epit_0152,fe_alloy,64.862,17.6,5.48,0,0,0.065,0,0.015,0.23,11.7,,0.03,0.018,0,0,0,0,0,0,0,0,0,0,0
epit_0153,fe_alloy,61.2245,17.6,5.44,0,0,0.086,0,0.0015,0.5,15.1,,0.03,0.018,0,0,0,0,0,0,0,0,0,0,0
epit_0154,fe_alloy,69.843,17,13,0,0,0.157,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0155,fe_alloy,71.999,18,10,0,0,0.001,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0156,fe_alloy,66.811,16.64,14.23,2.25,0,0.002,0,,0.01,0.01,,0.001,0.001,0.045,0,0,0,0,0,0,0,0,0,0
epit_0157,fe_alloy,66.757,16.56,14.26,2.27,0,0.058,0,,0.01,0.01,,0.001,0.001,0.073,0,0,0,0,0,0,0,0,0,0
epit_0158,fe_alloy,67.068,16.4,14.1,2.23,0,0.116,0,,0.01,0.01,,0.001,0.001,0.064,0,0,0,0,0,0,0,0,0,0
epit_0159,fe_alloy,66.989,16.36,14.08,2.29,0,0.171,0,,0.02,0.01,,0.001,0.001,0.078,0,0,0,0,0,0,0,0,0,0
epit_0160,fe_alloy,46.203,16.91,14.29,2.18,0,0.394,0,,0.01,20,,0.001,0.002,0.01,0,0,0,0,0,0,0,0,0,0
epit_0161,fe_alloy,53.812,19.86,19.98,5.99,0.03,0.011,0,0.006,0.08,0.2,,0.01,0.021,0,0,0,0,0,0,0,0,0,0,0
epit_0162,fe_alloy,53.854,19.74,19.96,5.96,0.03,0.19,0,0.005,0.09,0.14,,0.009,0.022,0,0,0,0,0,0,0,0,0,0,0
epit_0163,fe_alloy,67.215,25.1,5,2.46,0,0.16,0,0.065,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0164,fe_alloy,66.948,25.3,5.23,2.44,0,0.05,0,0.032,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0165,fe_alloy,71.93,18,10,0,0,,0,0.07,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0166,fe_alloy,82.93,17,0,0,0,,0,0.07,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0167,fe_alloy,68.93,18,10,3,0,,0,0.07,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0168,fe_alloy,43.44,20,29,3,0,,1,0.06,,,3.5,,,0,0,0,0,0,0,0,0,0,0,0
epit_0169,fe_alloy,68.965,18,10,3,0,,0,0.035,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0170,fe_alloy,67.93,18,10,3,0,,1,0.07,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0171,fe_alloy,72,18,10,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0172,fe_alloy,69,18,10,3,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0173,fe_alloy,64,25,5.5,2.5,0,,0,,,,3,,,0,0,0,0,0,0,0,0,0,0,0
epit_0174,fe_alloy,63.17,25.5,5.5,3,0,0.1,0,0.08,,,2.65,,,0,0,0,0,0,0,0,0,0,0,0
epit_0175,fe_alloy,61.07,27.5,7.5,2.5,0,0.1,0,0.08,,,1.25,,,0,0,0,0,0,0,0,0,0,0,0
epit_0176,fe_alloy,43.87,21,28.5,4,0,0.56,0,0.07,,,2,,,0,0,0,0,0,0,0,0,0,0,0
epit_0177,other,25.061,15,59.939,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0178,fe_alloy,72,15,13,0,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0179,fe_alloy,71.564,15,13,0.436,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0180,fe_alloy,71.046,15,13,0.954,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0181,fe_alloy,70.552,15,13,1.448,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0182,fe_alloy,70.096,15,13,1.904,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0183,fe_alloy,69.582,15,13,2.418,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0184,fe_alloy,71.994,15,13,0.006,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0185,fe_alloy,71.557,15,13,0.443,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0186,fe_alloy,71.045,15,13,0.955,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0187,fe_alloy,70.089,15,13,1.911,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0188,fe_alloy,71.984,15,13,0.016,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0189,fe_alloy,71.551,15,13,0.449,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
epit_0190,fe_alloy,70.554,15,13,1.446,0,,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
