draw_index,sample_scope,metric,n_trials,spearman,kendall_tau
43,informed,pren_spearman,25,-0.30923076923076925,-0.21999999999999997
43,generic,fake_pren_spearman,7,0.21428571428571433,0.14285714285714288
44,all,surrogate_spearman,32,-0.15579178885630496,-0.10483870967741937
44,all,surrogate_mae,32,0.02785923753665689,0.028225806451612906
44,all,surrogate_rmse,32,0.12939882697947214,0.09274193548387098
44,informed,surrogate_spearman,25,-0.10846153846153846,-0.07333333333333332
44,generic,surrogate_spearman,7,-0.28571428571428575,-0.23809523809523814
44,informed,pren_spearman,25,0.27307692307692305,0.17999999999999997
44,generic,fake_pren_spearman,7,0.8214285714285715,0.6190476190476191
45,all,surrogate_spearman,32,0.11070381231671556,0.08064516129032259
45,all,surrogate_mae,32,-0.3244134897360703,-0.22177419354838715
45,all,surrogate_rmse,32,-0.26796187683284456,-0.16935483870967744
45,informed,surrogate_spearman,27,0.11904761904761904,0.08831908831908834
45,generic,surrogate_spearman,5,0.0,-0.19999999999999998
45,informed,pren_spearman,27,0.34676434676434675,0.2250712250712251
45,generic,fake_pren_spearman,5,0.19999999999999998,0.19999999999999998
46,all,surrogate_spearman,32,-0.0751466275659824,-0.06451612903225808
46,all,surrogate_mae,32,-0.15175953079178883,-0.11290322580645162
46,all,surrogate_rmse,32,-0.1730205278592375,-0.11693548387096775
46,informed,surrogate_spearman,26,-0.009914529914529914,-0.015384615384615385
46,generic,surrogate_spearman,6,-0.14285714285714288,-0.2
46,informed,pren_spearman,26,-0.07145299145299144,-0.04
46,generic,fake_pren_spearman,6,0.08571428571428573,0.06666666666666665
47,all,surrogate_spearman,32,0.2774926686217008,0.1895161290322581
47,all,surrogate_mae,32,-0.44061583577712604,-0.29838709677419356
47,all,surrogate_rmse,32,-0.3958944281524926,-0.26612903225806456
47,informed,surrogate_spearman,27,0.3199023199023199,0.2250712250712251
47,generic,surrogate_spearman,5,0.8999999999999998,0.7999999999999999
47,informed,pren_spearman,27,0.08669108669108669,0.059829059829059845
47,generic,fake_pren_spearman,5,-0.19999999999999998,-0.19999999999999998
48,all,surrogate_spearman,32,-0.08907624633431084,-0.07258064516129033
48,all,surrogate_mae,32,-0.01686217008797654,0.020161290322580648
48,all,surrogate_rmse,32,-0.007697947214076245,0.020161290322580648
48,informed,surrogate_spearman,28,-0.16365626710454295,-0.12169312169312169
48,generic,surrogate_spearman,4,-0.7999999999999999,-0.6666666666666669
48,informed,pren_spearman,28,0.0717022441160372,0.031746031746031744
48,generic,fake_pren_spearman,4,0.19999999999999998,0.0
49,all,surrogate_spearman,32,0.16715542521994134,0.1088709677419355
49,all,surrogate_mae,32,-0.23863636363636362,-0.1733870967741936
49,all,surrogate_rmse,32,-0.26063049853372433,-0.19354838709677422
49,informed,surrogate_spearman,25,-0.023846153846153843,-0.019999999999999993
49,generic,surrogate_spearman,7,-0.3214285714285715,-0.23809523809523814
49,informed,pren_spearman,25,-0.04769230769230769,-0.006666666666666665
49,generic,fake_pren_spearman,7,0.5357142857142858,0.4285714285714286
50,all,surrogate_spearman,32,-0.01942815249266862,0.012096774193548388
50,all,surrogate_mae,32,0.013929618768328446,-0.012096774193548388
50,all,surrogate_rmse,32,0.06268328445747799,0.03225806451612904
50,informed,surrogate_spearman,28,-0.07772304324028462,-0.031746031746031744
50,generic,surrogate_spearman,4,-0.19999999999999998,0.0
50,informed,pren_spearman,28,-0.17460317460317462,-0.14285714285714285
50,generic,fake_pren_spearman,4,0.6000000000000001,0.3333333333333334
51,all,surrogate_spearman,32,0.08577712609970674,0.05645161290322581
51,all,surrogate_mae,32,-0.18328445747800584,-0.1370967741935484
51,all,surrogate_rmse,32,-0.1345307917888563,-0.08064516129032259
51,informed,surrogate_spearman,25,-0.07461538461538461,-0.046666666666666655
51,generic,surrogate_spearman,7,0.28571428571428575,0.23809523809523814
51,informed,pren_spearman,25,-0.11384615384615385,-0.07333333333333332
51,generic,fake_pren_spearman,7,0.10714285714285716,0.04761904761904762
52,all,surrogate_spearman,32,0.10227272727272727,0.060483870967741944
52,all,surrogate_mae,32,-0.2631964809384164,-0.2016129032258065
52,all,surrogate_rmse,32,-0.2628299120234604,-0.19354838709677422
52,informed,surrogate_spearman,26,0.19863247863247863,0.13846153846153847
52,generic,surrogate_spearman,6,-0.5428571428571429,-0.4666666666666666
52,informed,pren_spearman,26,0.10358974358974359,0.05846153846153847
52,generic,fake_pren_spearman,6,0.2,0.06666666666666665
53,all,surrogate_spearman,32,0.10777126099706744,0.07258064516129033
53,all,surrogate_mae,32,-0.14809384164222872,-0.10483870967741937
53,all,surrogate_rmse,32,-0.13929618768328444,-0.11290322580645162
53,informed,surrogate_spearman,24,-0.003478260869565217,0.0
53,generic,surrogate_spearman,8,-0.04761904761904763,0.07142857142857142
53,informed,pren_spearman,24,0.3504347826086956,0.2391304347826087
53,generic,fake_pren_spearman,8,0.38095238095238104,0.21428571428571427
54,all,surrogate_spearman,32,0.044354838709677415,0.03225806451612904
54,all,surrogate_mae,32,-0.2778592375366568,-0.19758064516129034
54,all,surrogate_rmse,32,-0.26136363636363635,-0.1895161290322581
54,informed,surrogate_spearman,29,-0.003940886699507388,0.0
54,generic,surrogate_spearman,3,-0.5,-0.33333333333333337
54,informed,pren_spearman,29,-0.10738916256157634,-0.06403940886699505
54,generic,fake_pren_spearman,3,-1.0,-1.0
55,all,surrogate_spearman,32,0.10557184750733135,0.09274193548387098
55,all,surrogate_mae,32,-0.1066715542521994,-0.060483870967741944
55,all,surrogate_rmse,32,-0.11107038123167154,-0.05645161290322581
55,informed,surrogate_spearman,28,-0.022988505747126436,0.005291005291005291
55,generic,surrogate_spearman,4,0.6000000000000001,0.3333333333333334
55,informed,pren_spearman,28,0.03940886699507389,0.026455026455026457
55,generic,fake_pren_spearman,4,-0.39999999999999997,-0.3333333333333334
56,all,surrogate_spearman,32,0.15249266862170086,0.09274193548387098
56,all,surrogate_mae,32,-0.21517595307917886,-0.1532258064516129
56,all,surrogate_rmse,32,-0.21151026392961875,-0.15725806451612906
56,informed,surrogate_spearman,27,0.020757020757020756,0.00854700854700855
56,generic,surrogate_spearman,5,0.09999999999999999,0.0
56,informed,pren_spearman,27,-0.08424908424908426,-0.05413105413105414
56,generic,fake_pren_spearman,5,0.49999999999999994,0.39999999999999997
57,all,surrogate_spearman,32,-0.07441348973607037,-0.040322580645161296
57,all,surrogate_mae,32,0.022727272727272724,0.00403225806451613
57,all,surrogate_rmse,32,-0.028592375366568914,-0.04435483870967743
57,informed,surrogate_spearman,26,0.21846153846153846,0.15076923076923077
57,generic,surrogate_spearman,6,-0.5428571428571429,-0.4666666666666666
57,informed,pren_spearman,26,0.24786324786324784,0.15692307692307692
57,generic,fake_pren_spearman,6,0.7714285714285715,0.6
58,all,surrogate_spearman,32,0.00879765395894428,0.012096774193548388
58,all,surrogate_mae,32,-0.1660557184750733,-0.12096774193548389
58,all,surrogate_rmse,32,-0.17155425219941348,-0.11693548387096775
58,informed,surrogate_spearman,25,0.033846153846153845,0.02666666666666666
58,generic,surrogate_spearman,7,-0.07142857142857144,-0.04761904761904762
